id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.479999542236328,40.970001220703125,61.36000061035156
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.450000762939453,40.970001220703125,61.369998931884766
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.469999313354492,40.88999938964844,61.31999969482422
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.5,40.75,61.36000061035156
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.489999771118164,40.970001220703125,61.369998931884766
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.579999923706055,40.88999938964844,61.369998931884766
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.489999771118164,40.88999938964844,61.31999969482422
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,8.930000305175781,23.31999969482422,40.88999938964844,61.36000061035156
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.440000534057617,40.959999084472656,61.36000061035156
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.510000228881836,40.88999938964844,61.369998931884766
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.479999542236328,40.900001525878906,61.400001525878906
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,9.050000190734863,23.459999084472656,40.880001068115234,61.41999816894531
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.31999969482422,40.959999084472656,61.58000183105469
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,8.989999771118164,23.31999969482422,40.90999984741211,61.529998779296875
0.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,8.819999694824219,23.489999771118164,40.75,61.66999816894531
0.csv_Day7_7h30m,0.0,0.0,0.0,0.0,0.0,8.949999809265137,23.549999237060547,40.939998626708984,61.31999969482422
0.csv_Day7_8h00m,0.0,0.0,0.0,0.0,0.0,9.039999961853027,23.489999771118164,40.90999984741211,61.33000183105469
0.csv_Day7_8h30m,0.0,0.0,0.0,0.0,0.0,9.020000457763672,23.59000015258789,41.11000061035156,61.31999969482422
0.csv_Day7_9h00m,0.0,0.0,0.0,0.0,0.0,9.050000190734863,23.559999465942383,40.88999938964844,61.63999938964844
0.csv_Day7_9h30m,0.0,0.0,0.0,0.0,0.0,9.140000343322754,23.530000686645508,40.880001068115234,61.650001525878906
0.csv_Day7_10h00m,0.0,0.0,0.0,0.0,0.0,9.140000343322754,23.59000015258789,40.88999938964844,61.63999938964844
0.csv_Day7_10h30m,0.0,0.0,0.0,0.0,0.0,9.369999885559082,23.530000686645508,40.959999084472656,61.34000015258789
