id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_0h30m,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
0.csv_Day7_1h00m,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.csv_Day7_2h00m,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
0.csv_Day7_3h00m,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
0.csv_Day7_3h30m,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.csv_Day7_4h30m,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
0.csv_Day7_5h30m,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
0.csv_Day7_6h00m,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.009999999776482582,0.0
0.csv_Day7_6h30m,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.009999999776482582
0.csv_Day7_7h00m,0.0,0.0,-0.0,0.0,0.009999999776482582,0.009999999776482582,0.23000000417232513,0.15000000596046448,0.019999999552965164
0.csv_Day7_7h30m,0.07000000029802322,-0.0,0.0,0.6899999976158142,0.0,1.8700000047683716,1.3899999856948853,1.2400000095367432,1.9600000381469727
0.csv_Day7_8h00m,2.8399999141693115,2.4200000762939453,5.289999961853027,5.670000076293945,7.739999771118164,9.069999694824219,9.170000076293945,10.630000114440918,9.359999656677246
0.csv_Day7_8h30m,3.7200000286102295,4.579999923706055,9.970000267028809,11.770000457763672,13.020000457763672,13.220000267028809,14.609999656677246,15.6899995803833,17.31999969482422
0.csv_Day7_9h00m,7.860000133514404,8.109999656677246,15.369999885559082,18.209999084472656,17.450000762939453,20.600000381469727,20.469999313354492,18.790000915527344,24.799999237060547
0.csv_Day7_9h30m,6.46999979019165,18.1200008392334,16.049999237060547,20.299999237060547,26.350000381469727,26.549999237060547,29.8799991607666,30.139999389648438,31.809999465942383
0.csv_Day7_10h00m,11.0600004196167,18.760000228881836,21.110000610351562,28.200000762939453,34.31999969482422,38.779998779296875,36.90999984741211,37.310001373291016,38.2400016784668
0.csv_Day7_10h30m,13.609999656677246,23.239999771118164,31.010000228881836,37.060001373291016,41.93000030517578,44.77000045776367,46.06999969482422,46.0,48.720001220703125
0.csv_Day7_11h00m,23.15999984741211,26.8700008392334,35.689998626708984,35.7400016784668,42.2599983215332,44.04999923706055,46.2400016784668,44.38999938964844,43.9900016784668
0.csv_Day7_11h30m,18.399999618530273,29.459999084472656,37.04999923706055,34.72999954223633,43.68000030517578,41.099998474121094,44.54999923706055,45.790000915527344,49.40999984741211
0.csv_Day7_12h00m,19.1299991607666,29.68000030517578,40.34000015258789,44.599998474121094,40.65999984741211,45.25,47.09000015258789,47.470001220703125,53.5
